,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
187,ダート,1200,稍重,新馬,,,,,
188,ダート,1200,重,新馬,,,,,
189,ダート,1200,不良,新馬,,,,,
190,ダート,1200,全,1勝クラス,36.61,6.47,5.9,,
191,ダート,1200,良,1勝クラス,37.01,6.89,6.32,,
192,ダート,1200,稍重,1勝クラス,36.03,8.8,8.05,,
193,ダート,1200,重,1勝クラス,35.7,2.97,2.41,,
194,ダート,1200,不良,1勝クラス,36.1,2.25,2.25,,
195,ダート,1200,全,2勝クラス,36.13,7.44,7.63,,
196,ダート,1200,良,2勝クラス,36.14,8.1,8.32,,
197,ダート,1200,稍重,2勝クラス,36.1,4.15,4.15,,
198,ダート,1200,重,2勝クラス,,,,,
199,ダート,1200,不良,2勝クラス,,,,,
200,ダート,1200,全,3勝クラス,35.55,11.81,11.25,,
201,ダート,1200,良,3勝クラス,35.55,11.81,11.25,,
202,ダート,1200,稍重,3勝クラス,,,,,
203,ダート,1200,重,3勝クラス,,,,,
204,ダート,1200,不良,3勝クラス,,,,,
205,ダート,1200,全,オープン,36.6,3.27,3.27,,
206,ダート,1200,良,オープン,36.6,3.27,3.27,,
207,ダート,1200,稍重,オープン,,,,,
208,ダート,1200,重,オープン,,,,,
209,ダート,1200,不良,オープン,,,,,
210,ダート,1400,全,all,37.33,6.28,5.99,,
211,ダート,1400,良,all,37.45,6.56,6.2,,
212,ダート,1400,稍重,all,37.81,3.88,3.41,,
213,ダート,1400,重,all,37.12,4.33,4.14,,
214,ダート,1400,不良,all,36.41,9.01,9.17,,
215,ダート,1400,全,未勝利,37.48,5.94,5.16,,
216,ダート,1400,良,未勝利,37.45,7.77,6.58,,
217,ダート,1400,稍重,未勝利,38.3,1.88,1.88,,
218,ダート,1400,重,未勝利,37.0,4.9,4.52,,
219,ダート,1400,不良,未勝利,37.15,4.5,3.94,,
220,ダート,1400,全,新馬,37.83,7.42,7.42,,
221,ダート,1400,良,新馬,39.0,2.81,2.81,,
222,ダート,1400,稍重,新馬,,,,,
223,ダート,1400,重,新馬,37.5,7.88,7.88,,
224,ダート,1400,不良,新馬,35.8,16.2,16.2,,
225,ダート,1400,全,1勝クラス,37.31,6.44,6.32,,
226,ダート,1400,良,1勝クラス,37.52,6.16,6.06,,
227,ダート,1400,稍重,1勝クラス,37.43,6.77,5.68,,
228,ダート,1400,重,1勝クラス,37.6,2.25,2.25,,
229,ダート,1400,不良,1勝クラス,36.27,8.62,9.38,,
230,ダート,1400,全,2勝クラス,37.18,6.39,6.55,,
231,ダート,1400,良,2勝クラス,37.42,5.27,5.46,,
232,ダート,1400,稍重,2勝クラス,,,,,
233,ダート,1400,重,2勝クラス,,,,,
234,ダート,1400,不良,2勝クラス,36.0,12.0,12.0,,
235,ダート,1400,全,3勝クラス,36.57,2.25,2.62,,
236,ダート,1400,良,3勝クラス,36.55,2.81,3.38,,
237,ダート,1400,稍重,3勝クラス,,,,,
238,ダート,1400,重,3勝クラス,36.6,1.12,1.12,,
239,ダート,1400,不良,3勝クラス,,,,,
240,ダート,1400,全,オープン,37.0,8.74,8.46,,
241,ダート,1400,良,オープン,36.83,11.25,10.88,,
242,ダート,1400,稍重,オープン,37.5,1.2,1.2,,
243,ダート,1400,重,オープン,,,,,
244,ダート,1400,不良,オープン,,,,,
245,ダート,1800,全,all,37.87,5.92,5.58,5.37,4.92
246,ダート,1800,良,all,38.06,6.23,5.88,5.56,5.15
247,ダート,1800,稍重,all,38.27,5.31,5.27,4.94,4.45
248,ダート,1800,重,all,36.71,4.67,4.33,4.35,3.79
249,ダート,1800,不良,all,37.49,6.27,5.69,5.99,5.42
250,ダート,1800,全,未勝利,38.49,4.75,4.54,3.8,3.71
251,ダート,1800,良,未勝利,38.83,4.68,4.61,3.61,3.68
252,ダート,1800,稍重,未勝利,39.0,5.67,6.05,5.67,5.27
253,ダート,1800,重,未勝利,36.85,3.09,2.53,2.48,2.48
254,ダート,1800,不良,未勝利,38.03,6.54,5.25,4.82,4.02
255,ダート,1800,全,新馬,38.14,5.01,4.46,3.68,3.91
