,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
265,芝,3000,全,2勝クラス,,,,,
266,芝,3000,良,2勝クラス,,,,,
267,芝,3000,稍重,2勝クラス,,,,,
268,芝,3000,重,2勝クラス,,,,,
269,芝,3000,不良,2勝クラス,,,,,
270,芝,3000,全,3勝クラス,,,,,
271,芝,3000,良,3勝クラス,,,,,
272,芝,3000,稍重,3勝クラス,,,,,
273,芝,3000,重,3勝クラス,,,,,
274,芝,3000,不良,3勝クラス,,,,,
275,芝,3000,全,オープン,33.8,4.0,4.0,4.0,4.0
276,芝,3000,良,オープン,33.8,4.0,4.0,4.0,4.0
277,芝,3000,稍重,オープン,,,,,
278,芝,3000,重,オープン,,,,,
279,芝,3000,不良,オープン,,,,,
280,芝,3200,全,all,,,,,
281,芝,3200,良,all,,,,,
282,芝,3200,稍重,all,,,,,
283,芝,3200,重,all,,,,,
284,芝,3200,不良,all,,,,,
285,芝,3200,全,未勝利,,,,,
286,芝,3200,良,未勝利,,,,,
287,芝,3200,稍重,未勝利,,,,,
288,芝,3200,重,未勝利,,,,,
289,芝,3200,不良,未勝利,,,,,
290,芝,3200,全,新馬,,,,,
291,芝,3200,良,新馬,,,,,
292,芝,3200,稍重,新馬,,,,,
293,芝,3200,重,新馬,,,,,
294,芝,3200,不良,新馬,,,,,
295,芝,3200,全,1勝クラス,,,,,
296,芝,3200,良,1勝クラス,,,,,
297,芝,3200,稍重,1勝クラス,,,,,
298,芝,3200,重,1勝クラス,,,,,
299,芝,3200,不良,1勝クラス,,,,,
300,芝,3200,全,2勝クラス,,,,,
301,芝,3200,良,2勝クラス,,,,,
302,芝,3200,稍重,2勝クラス,,,,,
303,芝,3200,重,2勝クラス,,,,,
304,芝,3200,不良,2勝クラス,,,,,
305,芝,3200,全,3勝クラス,,,,,
306,芝,3200,良,3勝クラス,,,,,
307,芝,3200,稍重,3勝クラス,,,,,
308,芝,3200,重,3勝クラス,,,,,
309,芝,3200,不良,3勝クラス,,,,,
310,芝,3200,全,オープン,,,,,
311,芝,3200,良,オープン,,,,,
312,芝,3200,稍重,オープン,,,,,
313,芝,3200,重,オープン,,,,,
314,芝,3200,不良,オープン,,,,,
315,ダート,1200,全,all,36.2,7.0,6.7,,
316,ダート,1200,良,all,36.2,7.0,6.7,,
317,ダート,1200,稍重,all,,,,,
318,ダート,1200,重,all,,,,,
319,ダート,1200,不良,all,,,,,
320,ダート,1200,全,未勝利,36.6,4.6,4.7,,
321,ダート,1200,良,未勝利,36.6,4.6,4.7,,
322,ダート,1200,稍重,未勝利,,,,,
323,ダート,1200,重,未勝利,,,,,
324,ダート,1200,不良,未勝利,,,,,
325,ダート,1200,全,新馬,37.4,1.3,1.3,,
326,ダート,1200,良,新馬,37.4,1.3,1.3,,
327,ダート,1200,稍重,新馬,,,,,
328,ダート,1200,重,新馬,,,,,
329,ダート,1200,不良,新馬,,,,,
330,ダート,1200,全,1勝クラス,36.0,8.8,8.5,,
331,ダート,1200,良,1勝クラス,36.0,8.8,8.5,,
332,ダート,1200,稍重,1勝クラス,,,,,
333,ダート,1200,重,1勝クラス,,,,,
