,race_type,course_len,ground_state,class,winner_pops,place_pops
341,ダート,1800,良,3勝クラス,2.4,9.2
342,ダート,1800,稍重,3勝クラス,4.8,3.6
343,ダート,1800,重,3勝クラス,,
344,ダート,1800,不良,3勝クラス,,
345,ダート,1800,全,オープン,6.6,6.0
346,ダート,1800,良,オープン,8.4,4.0
347,ダート,1800,稍重,オープン,4.8,8.0
348,ダート,1800,重,オープン,,
349,ダート,1800,不良,オープン,,
350,ダート,2500,全,all,4.91,4.36
351,ダート,2500,良,all,4.91,4.36
352,ダート,2500,稍重,all,,
353,ダート,2500,重,all,,
354,ダート,2500,不良,all,,
355,ダート,2500,全,未勝利,,
356,ダート,2500,良,未勝利,,
357,ダート,2500,稍重,未勝利,,
358,ダート,2500,重,未勝利,,
359,ダート,2500,不良,未勝利,,
360,ダート,2500,全,新馬,,
361,ダート,2500,良,新馬,,
362,ダート,2500,稍重,新馬,,
363,ダート,2500,重,新馬,,
364,ダート,2500,不良,新馬,,
365,ダート,2500,全,1勝クラス,4.91,4.36
366,ダート,2500,良,1勝クラス,4.91,4.36
367,ダート,2500,稍重,1勝クラス,,
368,ダート,2500,重,1勝クラス,,
369,ダート,2500,不良,1勝クラス,,
370,ダート,2500,全,2勝クラス,,
371,ダート,2500,良,2勝クラス,,
372,ダート,2500,稍重,2勝クラス,,
373,ダート,2500,重,2勝クラス,,
374,ダート,2500,不良,2勝クラス,,
375,ダート,2500,全,3勝クラス,,
376,ダート,2500,良,3勝クラス,,
377,ダート,2500,稍重,3勝クラス,,
378,ダート,2500,重,3勝クラス,,
379,ダート,2500,不良,3勝クラス,,
380,ダート,2500,全,オープン,,
381,ダート,2500,良,オープン,,
382,ダート,2500,稍重,オープン,,
383,ダート,2500,重,オープン,,
384,ダート,2500,不良,オープン,,
